city,name,address,url,lat,lng
台北,台北信義威秀,台北市信義區松壽路16、18號,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0006|TP&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,25.035684,121.566542
台北,台北京站威秀,台北市大同區市民大道一段209號5樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0009|QS&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,25.0487857,121.518569
台北,台北日新威秀,台北市萬華區武昌街二段87號,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0008|XM&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,25.045406,121.504409
新北,板橋大遠百威秀影城,新北市板橋區新站路28號10樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0010|BQ&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,25.013513,121.4664973
新竹,新竹大遠百威秀影城,新竹市東區西大路323號8樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0005|HS&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,24.8016908,120.9658562
新竹,新竹市東區民權路176號4樓之3,新竹市東區民權路176號4樓之3,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0012|BC&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,24.8098201,120.9743384
苗栗,頭份尚順威秀影城,苗栗縣頭份鎮中央路105號7樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0014|TF&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,24.6937093,120.8967611
台中,台中老虎城威秀,台中市西屯區河南路三段120-1號4-6樓及1號3樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0011|TZ&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,24.1642474,120.6381239
台中,台中大遠百威秀影城,台中市西屯區台中港路二段105號13樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0011|TZ&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,24.1662735,120.6434278
台中,台中新時代威秀,台中市東區復興路四段186號 4-5 樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0003|TD&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,24.1375663,120.6894724
台南,台南大遠百威秀影城,台南市公園路60號8樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0004|TN&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,22.9954491,120.2060681
台南,台南南紡夢時代威秀影城,台南市中華東路一段366號6-7樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0013|NF&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,22.9907349,120.233097
高雄,高雄威秀,高雄市苓雅區三多四路21號13樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0001|KS&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=,22.6130726,120.3039507
台北,國賓微風影城,台北市松山區復興南路一段39號,http://www.ambassador.com.tw/showtime_list.html?theaterid=5c2d4697-7f54-4955-800c-7b3ad782582c,25.0460629,121.5441717
台北,國賓長春影城,台北市中山區長春路176號,http://www.ambassador.com.tw/showtime_list.html?theaterid=453b2966-f7c2-44a9-b2eb-687493855d0e,25.0546694,121.5341187
新北,國賓林口昕境廣場,新北市林口區文化三路一段402巷2號4F,http://www.ambassador.com.tw/showtime_list.html?theaterid=9383c5fa-b4f3-4ba8-ba7a-c25c7df95fd0,25.0759271,121.3700648
新北,國賓環球影城,新北市中和區中山路三段122號4樓,http://www.ambassador.com.tw/showtime_list.html?theaterid=357633f4-36a4-428d-8ac8-dee3428a5919,25.0065836,121.4748252
新北,國賓新莊晶冠廣場影城,新北市新莊區五工路66號3、4F,http://www.ambassador.com.tw/showtime_list.html?theaterid=3301d822-b385-4aa8-a9eb-aa59d58e95c9,25.063465,121.4581609
台北,國賓戲院,台北市萬華區成都路88號,http://www.ambassador.com.tw/showtime_list.html?theaterid=84b87b82-b936-4a39-b91f-e88328d33b4e,25.042998,121.50454
新竹,新竹世博國賓影城,新竹市東區公道五路三段8號1樓,http://www.ambassador.com.tw/showtime_list.html?theaterid=38897fa9-094f-4e63-9d6d-c52408438cb6,24.8138789,120.9860049
台南,台南國賓影城,台南市東區中華東路一段88號,http://www.atmovies.com.tw/showtime/a06/,22.9954681,120.234089
高雄,國賓義大世界影城,高雄市大樹區學城路一段12號3樓,http://www.ambassador.com.tw/showtime_list.html?theaterid=ec07626b-b382-474e-be39-ad45eac5cd1c,22.7296392,120.4069259
屏東,國賓屏東環球影城,屏東縣屏東市仁愛路90號6、7樓,http://www.ambassador.com.tw/showtime_list.html?theaterid=41aae717-4464-49f4-ac26-fec2d16acbd6,22.6732667,120.4934017
金門,金門國賓影城,金門縣金湖鎮新市里太湖路二段198號6樓,http://www.ambassador.com.tw/showtime_list.html?theaterid=65db51ce-3ad5-48d8-8e32-7e872e56aa4a,24.4396984,118.4163332
台東,台東秀泰影城,台東市鐵花里5鄰新生路93號,http://www.showtimes.com.tw/timetable.asp?sid=6,22.7521125,121.148681
花蓮,花蓮秀泰影城,花蓮縣花蓮市國聯五路69號,http://www.showtimes.com.tw/timetable.asp?sid=5,23.9907537,121.6053563
南投,南投戲院,南投縣南投市大同街87號,https://tw.movies.yahoo.com/theater_result.html/id=77,23.9079636,120.6879166
宜蘭,新月豪華影城,宜蘭縣宜蘭市民權路二段38巷6號,http://www.lunacinemax.com.tw/movie_time/showtime.aspx,24.7548524,121.750711
宜蘭,日新戲院,宜蘭縣羅東鎮公園路100號3樓,http://www.ilanmovie.com/index2.php,24.6755821,121.7689659
基隆,基隆秀泰影城,基隆市中正區信一路177號,http://www.showtimes.com.tw/timetable.asp?sid=4,25.1309301,121.7447883
台北,今日秀泰影城,台北市萬華區峨眉街52號,http://www.showtimes.com.tw/studio.asp?sid=2,25.043798,121.505412
台北,in89豪華數位影城,台北市萬華區武昌街二段89號,http://www.in89.com.tw/movies.php,25.0454959,121.504021
桃園,美麗華台茂,桃園縣蘆竹鄉南崁路一段112號7樓,http://web.miramarcinemas.com/visInternetTicketing/visPrintShowTimes.aspx?visCinemaID=1004|TAI&visMultiCinema=Y&visLang=2&AspxAutoDetectCookieSupport=1,25.0784359,121.2969674
彰化,彰化戲院,彰化縣彰化市中正路二段153號3、4樓,http://www.atmovies.com.tw/showtime/t04701/a47/,24.0785609,120.537529
彰化,員林電影城,彰化縣員林鎮南昌路39號3樓,http://www.atmovies.com.tw/showtime/t04703/a47/,23.954479,120.573115
雲林,中華電影城,網站 雲林縣斗六市雲林路二段19號,http://cfapp.atmovies.com.tw/cfcounter/theaterweblink.cfm?theaterid=t04501&weblink=https://www.facebook.com/chmv168,23.705753,120.535669
嘉義,嘉年華戲院,嘉義市西區中山路615號,http://www.3d-movies.tw/showtimes.asp,23.4781559,120.4412644
高雄,高雄環球數位3D影城,高雄市苓雅區大順三路108號,http://www.u-movie.com.tw/,22.6321226,120.3253339
高雄,喜滿客夢時代影城,高雄市前鎮區中華五路789號,http://www.cinemark.com.tw/timetable_ks.asp,22.5950447,120.3071367
屏東,中影屏東影城,屏東縣屏東市民生路248號3、4樓,http://www.movie.com.tw/ptcinema/index.php?option=com_content&view=article&id=55&Itemid=50,22.670618,120.491952
澎湖,中興電影城,澎湖縣馬公市文康街37號,http://cfapp.atmovies.com.tw/cfcounter/theaterweblink.cfm?theaterid=t06901&weblink=,23.5687168,119.5671558
金門,金獅影城,金門縣金湖鎮中山路8-5號,http://cfapp.atmovies.com.tw/cfcounter/theaterweblink.cfm?theaterid=t06801&weblink=http://cinemax.windlion.com/,24.4413804,118.3649747
