名稱	地址	緯度	經度	電話
臺南市東區衛生所	台南市東區林森路１段４１８號	22.9849348	120.2219427	06-2674085
臺南市北區衛生所	台南市北區西華街５０號	23.0001146	120.2108379	06-2252404
臺南市中西區衛生所	台南市西區環河街９４號	22.995876	120.192395	06-2252403
臺南市南區衛生所	台南市南區南和路６號	22.9606621	120.187913	06-2618578
臺南市安平區衛生所	台南市安平區育平路３１０號	22.9943652	120.1682577	06-2996885
臺南市安南區衛生所	台南市安南區仁安路７０號２樓	23.0498419	120.1757919	06-2567406
臺南市新營區衛生所	台南市新營區三民路７２號	23.307466	120.317153	06-6355696
臺南市鹽水區衛生所	台南市鹽水區武廟路１號	23.3202036	120.2653704	06-6521041
臺南市白河區衛生所	台南市白河區國光路５號	23.352012	120.415777	06-6852024
臺南市柳營區衛生所	台南市柳營區５４之５號	23.278563	120.310451	06-6220464
臺南市後壁區衛生所	台南市後壁區３號	23.365478	120.362263	06-6872624
臺南市東山區衛生所	台南市東山區２３６號	23.326184	120.404847	06-6802618
臺南市麻豆區衛生所	台南市麻豆區興國路１１一１號	23.1826449	120.248478	06-5722215
臺南市下營區衛生所	台南市下營區中山路二段１３７號	23.2295783	120.2632777	06-6892149
臺南市六甲區衛生所	台南市六甲區中華路１１０號	23.2245477	120.3473103	06-6982013
臺南市官田區衛生所	台南市官田區中山路一段１２８號	23.1928276	120.3162812	06-5791493
臺南市大內區衛生所	台南市大內區2號	23.119297	120.357092	06-5761044
臺南市佳里區衛生所	台南市佳里區進學路１５９號	23.1635269	120.177701	06-7224106
臺南市學甲區衛生所	台南市學甲區建國路３８號１樓	23.2302094	120.1817447	06-7833359
臺南市西港區衛生所	台南市西港區中山路３６８號	23.123466	120.203377	06-7952338
臺南市七股區衛生所	台南市七股區３７９號	23.140258	120.138747	06-7872277
臺南市將軍區衛生所	台南市將軍區１８５－６號	23.201243	120.158480	06-7942007
臺南市北門區衛生所	台南市北門區５０號	23.270261	120.125557	06-7862043
臺南市新化區衛生所	台南市新化區健康路十三鄰１４３號	23.034437	120.304818	06-5905398
臺南市善化區衛生所	台南市善化區中山路２００號	23.132715	120.30018	06-5837035
臺南市新市區衛生所	台南市新市區中興街１２號	23.0786097	120.2948881	06-5992504
臺南市山上區衛生所	台南市山上區３５－２號	23.098474	120.358253	06-5781013
臺南市玉井區衛生所	台南市玉井區中正路５號	23.1217741	120.4592867	06-5742275
臺南市楠西區衛生所	台南市楠西區中正路２２６號	23.1744223	120.4863952	06-5751006
臺南市南化區衛生所	台南市南化區２２６－１號	23.044509	120.479467	06-5771139
臺南市左鎮區衛生所	台南市左鎮區１７２之１５號	23.056751	120.408897	06-5731114
臺南市仁德區衛生所	台南市仁德區中山路６０６巷２號	22.972735	120.251498	06-2704153
臺南市歸仁區衛生所	台南市歸仁區中正北路１段１號	22.967459	120.294299	06-2393309
臺南市關廟區衛生所	台南市關廟區中正路１０００號	22.962749	120.3276666	06-5952395
臺南市龍崎區衛生所	台南市龍崎區新市子１５８號	22.965250	120.361995	06-5941397
臺南市永康區衛生所	台南市永康區文化路５１號	23.016465	120.261271	06-2326507
臺南市安定區衛生所	台南市安定區５９－１號	23.121368	120.237360	06-5922022
衛生福利部胸腔病院	台南市東區大同路一段69號	22.9872059	120.2114051	06-2705911
德東診所	台南市東區德東街93-1號1、2樓	22.9617895	120.2302552	06-2899616
謝明憲內科診所	台南市東區長榮路２段９３號	22.9905342	120.2205846	06-2086360
徐慶鐘小兒科診所	台南市東區長榮路二段３０６號	22.9913948	120.2216202	06-2369954
石荃小兒科診所	台南市東區裕農一街155號	22.9843232	120.2384791	06-3363558
路加小兒科診所	台南市東區中華東路二段１８５巷２６，２８號	22.985016	120.2333	06-2698925
佳一家庭診所	台南市東區東光路１段１３２號１樓	22.9947107	120.2313806	06-2360513
喜樂小兒科診所	台南市東區東光路１段１０６號	22.9940909	120.2313302	06-2757958
王正賜小兒科診所	台南市東區東安路１００號	22.9933051	120.2266687	06-2008992
林信常診所	台南市東區東安路５０號	22.9920839	120.2264699	06-2362853
呂怡璋小兒科診所	台南市東區前鋒路４１號	22.9902789	120.2126198	06-2748014
幼馨診所	台南市東區裕農路５８４之２號	22.988258	120.234654	06-2680207
臺灣基督長老教會新樓醫療財團法人臺南新樓醫院	台南市東區東門路１段５７號	22.989134	120.213089	06-2748316
臺南市立醫院	台南市東區崇德路６７０號	22.9687059	120.2268128	06-2609926
寶泰診所	台南市東區東門路二段４３４號	22.9815462	120.2284195	06-2896568
葉正傑家醫科診所	台南市東區崇學路１４４號	22.9810492	120.2246549	06-2689599
侯世婷小兒科診所	台南市東區崇善路５１１號１樓	22.9616636	120.2365187	06-3369131
陳勃旭耳鼻喉科診所	台南市東區崇善路４３８號１樓	22.9734312	120.2292736	06-3358868
王肇陽皮膚科診所	台南市東區崇明路７９號	22.980412	120.2172266	06-2891634
良田蔡明峻小兒科診所	台南市東區崇明路２０１號１樓	22.978365	120.219873	06-2607698
黃三元耳鼻喉科診所	台南市東區崇明路7號	22.9819041	120.216404	06-2606169
林泰盟耳鼻喉科診所	台南市仁德區中山路３６４號	22.9710259	120.2575709	06-2495278
慈安診所	台南市仁德區太子路３５２－１號	22.9915144	120.257393	06-2739003
林孟津小兒科診所	台南市南區建南路１１９號	22.9848641	120.190676	06-2610883
林黑潮小兒科診所	台南市南區金華路一段３７７號	22.9697371	120.190168	06-2656789
泰立診所	台南市南區西門路一段１９９號１樓之８	22.9747711	120.19744	06-2636629
唐勳樟診所	台南市南區金華路一段１６０號１樓	22.9652827	120.1899579	06-2642266
林大傑耳鼻喉科診所	台南市南區金華路二段１７１號	22.9812734	120.191253	06-2915660
張祐禎家庭醫學科診所	台南市南區中華南路二段７２號	22.9621829	120.1938138	06-2920909
民安診所	台南市南區喜樹路２７２號	22.9400576	120.177978	06-2622143
祥泰診所	台南市南區新建路37巷2號之2、2號之3	22.9687201	120.1857623	06-2617119
王日榮耳鼻喉科診所	台南市南區大同路二段１０２號	22.9806469	120.2121824	06-2149955
張士澎內科家醫科診所	台南市南區西門路一段６１１號	22.9853488	120.1970808	06-2216216
葉太原診所	台南市南區夏林路１７２號	22.9805035	120.1947928	06-2633011
霍永惠診所	台南市南區健康路二段３５號	22.9812664	120.1965291	06-2658666
文賢內科診所	台南市北區文賢路６２９號１、２樓及６３１號１樓	23.013398	120.1936513	06-2502588
傅耳鼻喉科診所	台南市北區文賢路８７７號	23.017795	120.1930645	06-2507089
曾內科診所	台南市北區和緯路１段５２號１樓	23.0095598	120.2150794	06-2522293
蘇耳鼻喉科診所	台南市北區文賢路２６３號１樓	23.0055113	120.1934242	06-2092820
邱泉正耳鼻喉科診所	台南市北區文賢路291號	23.0061062	120.1934078	06-2501686
國立成功大學醫學院附設醫院	台南市北區勝利路138號	23.0021803	120.2189867	06-2353535
王克生小兒科診所	台南市北區開元路４７９號１樓	23.010146	120.224526	06-2362201
德幼小兒科診所	台南市北區和緯路３段３２２號１樓	23.0101369	120.1957441	06-2584000
海安小兒科診所	台南市北區海安路３段７６１、７６１－１號１樓	23.019452	120.199534	06-2820566
王界三小兒科診所	台南市北區文賢路１０６８號	23.014947	120.193814	06-3583770
第一聯合診所	台南市北區勝利路421號	23.0047351	120.218715	06-2350116
陳文峰耳鼻喉科診所	台南市北區公園路７０３號	23.0166966	120.2145553	06-2833398
邱盈禎診所	台南市北區公園路６３５號	23.0154046	120.2134981	06-2520056
張金石小兒科診所	台南市北區公園路１９１號	22.9995724	120.2076503	06-2216695
惠幼小兒科診所	台南市北區公園路１６７號	22.9987909	120.2072085	06-2251179
幼之園小兒科診所	台南市北區忠義路３段２４號１樓	22.9993374	120.2053646	06-2213434
大道診所	台南市北區長榮路５段３０５號１樓	23.0127472	120.216667	06-2526863
安康耳鼻喉科診所	台南市北區海安路３段７１８號	23.014974	120.2005884	06-2525889
鄭光傑骨外科診所	台南市北區北安路１段１７８號	23.017222	120.209460	06-2512936
邱聯合診所	台南市北區西門路四段３４７號	23.015295	120.209903	06-2512789
柯中文皮膚科診所	台南市北區公園南路３５６號	23.0030993	120.2022512	06-2289333
安田耳鼻喉科診所	台南市北區臨安路二段１５１號	23.003331	120.1980688	06-3583360
林文雄小兒科診所	台南市北區公園南路３５２號	23.0030277	120.2028077	06-2267301
嘉鎂診所	台南市北區長榮路５段１２─２號１樓	23.008964	120.220758	06-2755437
陳冠文內科診所（風典聯合門診）	台南市北區小東路１７１號	23.0003076	120.2272826	06-2752882
邱外科診所	台南市北區公園路４３５─５號１樓	23.008152	120.209845	06-2511916
楊宏義小兒科診所	台南市北區開元路４２６號	23.0107854	120.2257451	06-2742678
永昌診所	台南市北區開元路９５號１樓	23.0065154	120.2174904	06-2374841
王克紹診所	台南市北區成功路５１６號	23.0013589	120.1965614	06-2211177
芳德診所	台南市北區成功路６０８號１樓	23.0027378	120.1946348	06-2588740
蕭震亞診所	台南市北區和緯路５段４６號１樓	23.0066641	120.1850569	06-2808288
志誠醫院	台南市北區公園路３１５之１號	23.0035276	120.2100545	06-2210423
南門蔡內科診所	台南市中西區南門路72號1樓	22.9798646	120.203599	06-2133637
大安婦幼醫院	台南市中西區金華路三段１６７號１、２、３、４樓	22.9927341	120.192872	06-2278899
郭明慧診所	台南市中西區中正路324號１樓	22.993652	120.19511	06-2264118
郭綜合醫院	台南市中西區民生路2段22號	22.9947575	120.1986977	06-2221111
洪敏元耳鼻喉科診所	台南市中西區大勇街１１１號	22.9898317	120.1927321	06-2212257
陳欽富診所	台南市中西區民族路三段９９號	22.998385	120.196672	06-2269909
郭重德診所	台南市中西區民生路一段９０號	22.9938028	120.2018498	06-2262953
李明鎧診所	台南市中西區開山路90號	22.9899109	120.2067252	06-2260303
陸健邦耳鼻喉科診所	台南市中西區金華路3段277號	22.995815	120.193556	06-2209888
楊介元診所	台南市中西區和緯路5段129號	23.0039948	120.1844261	06-3587769
湖美耳鼻喉科診所	台南市中西區	23.003593	120.179707	06-2801561
衛生福利部臺南醫院	台南市中西區中山路１２５號	22.9960707	120.2088778	06-2200055
永川醫院	台南市中西區成功路１６９號	22.9980965	120.2062791	06-2245771
康健內兒科診所	台南市中西區健康路一段176號	22.9813847	120.2067745	06-2146928
紀冠廷診所	台南市中西區青年路１１９號	22.992172	120.2084372	06-2263931
呂宗禧耳鼻喉科診所	台南市中西區民權路１段２６１號１樓	22.9930522	120.2068648	06-2282155
沈俊良診所	台南市中西區青年路４３、４５號１樓	22.9924118	120.2065857	06-2213257
張永昌小兒科診所	台南市中西區新美街６６之１號	22.995279	120.20045	06-2292360
李朝泰小兒科診所	台南市中西區成功路３１９號	22.9997379	120.2005111	06-2256618
吳中心診所	台南市中西區西門路二段３７５號１，２樓	22.9983056	120.2001865	06-2282121
永和醫院	台南市中西區府前路一段３０４巷２號	22.9902863	120.1988861	06-2231191
明德診所	台南市安南區安和路1段156號	23.028973	120.214204	06-2830034
溫聯合診所	台南市安南區安和路一段１６６號	23.029875	120.213674	06-2562283
十二佃診所	台南市安南區海佃路四段388巷107弄22號	23.0664499	120.1757605	06-2465658
臺南市立安南醫院-委託中國醫藥大學興建經營	台南市安南區長和路二段６６號	23.064672	120.223337	06-3553111
董哲樑骨外科診所	台南市安南區海佃路一段２０５號	23.024554	120.191327	06-3584688
陳本全家醫科診所	台南市安南區安中路三段41號	23.0472016	120.1828338	06-2558673
郭文山家庭醫學婦產科診所	台南市安南區海佃路２段６４８號１樓	23.0439447	120.1863478	06-2560688
戴明崑診所	台南市安南區郡安路4段79號	23.0279941	120.210443	06-2833360
順安耳鼻喉科診所	台南市安南區安和路1段55號	23.027095	120.21485	06-2833973
北安診所	台南市安南區北安路二段１３３號	23.0276283	120.2046778	06-2503006
黃義盛小兒科診所	台南市安平區民權路四段１４１號１樓	22.9990808	120.1826228	06-2599589
慶平美耳鼻喉科診所	台南市安平區慶平路５５９號	22.9974211	120.1704508	06-2976670
穠田聯合診所	台南市安平區永華路二段１０５９號１、２樓	22.99142	120.166097	06-2950808
吳國堯小兒科診所	台南市安平區文平路４３８號１樓	22.9934441	120.1788428	06-2933358
陳建霖內科診所	台南市安平區府前路２段６１６號１樓	22.9933357	120.1842965	06-2983577
石門診所	台南市安平區安平路21號	22.9990011	120.1678689	06-2242666
同心小兒科診所	台南市安平區國平路３０６號１樓	22.9918108	120.1713001	06-2959289
陽光小兒科診所	台南市安平區華平路５０１號１樓	22.9934807	120.1751889	06-2937711
許進賢耳鼻喉科診所	台南市永康區民族路３７６號	23.0079709	120.2666503	06-2724321
利民內科診所	台南市永康區中正路２５８之２號	23.0312606	120.2501116	06-2039513
中正耳鼻喉科診所	台南市永康區正強路２３１號１、２樓	23.0297194	120.251527	06-2333566
永大診所	台南市永康區中山路１７號	23.02687	120.256803	06-2310932
丞康小兒科診所	台南市永康區中山北路３０號	23.0259783	120.2579954	06-2332400
李俊杰診所	台南市永康區北安路１段１７８號	23.026700	120.259028	06-2320399
佳恩小兒科診所	台南市永康區中山南路９８８號	23.0246316	120.2546159	06-2019595
奇美醫療財團法人奇美醫院	台南市永康區中華路９０１號	23.0209835	120.2220415	06-2812811
史地分小兒科診所	台南市永康區大橋一街５７號	23.0170382	120.2275069	06-3039099
蔡尚均小兒科診所	台南市永康區中華路６７５之１號	23.0159077	120.2288298	06-3020188
仁享診所	台南市永康區富強路一段２０號１、２樓	23.0139621	120.272368	06-2719351
滕內科診所	台南市永康區永大路二段215號	23.0078624	120.2618873	06-2715857
鄭飛良診所	台南市永康區大灣路728號	23.0007482	120.2612637	06-2733337
張大慶耳鼻喉科診所	台南市永康區永大路二段83號	23.003862	120.260487	06-2730086
王建章婦產科診所	台南市永康區中華路580號	23.0216003	120.2211903	06-2336605
永慶診所	台南市永康區復國一路１９８號	23.00641	120.2462126	06-3133996
復華耳鼻喉科診所	台南市永康區復國一路４６９號	23.0147731	120.2449902	06-2025392
張耀仁小兒科診所	台南市永康區復國一路４４７號	23.0143605	120.245376	06-2010199
高雄榮民總醫院臺南分院	台南市永康區復興路４２７號	22.9972963	120.2402196	06-3125101
光田診所	台南市永康區中正路５３５號	23.039482	120.2388461	06-2425866
奇美醫療財團法人佳里奇美醫院	台南市佳里區６０６號	23.181943	120.183866	06-7263333
奇美醫療財團法人柳營奇美醫院	台南市柳營區２０１號	23.288475	120.325385	06-6226999
臺灣基督長老教會新樓醫療財團法人麻豆新樓醫院	台南市麻豆區苓子林20號	23.1802283	120.232868	06-5702228
陳信宏小兒科診所	台南市麻豆區中山路１４５號	23.1835888	120.2448103	06-5719889
宏科醫院	台南市善化區三民路１－３５號	23.12766	120.2870613	06-5818868
誼仁診所	台南市善化區中山路３５０號	23.1322872	120.2935195	06-5817267
徐小兒科診所	台南市新化區中山路１９３號１樓	23.0366622	120.3102133	06-5901995
陳相國聯合診所	台南市新化區清水里中山路４９１之１號	23.035746	120.302986	06-5908878
衛生福利部臺南醫院新化分院	台南市新化區那拔里牧場７２號	23.063157	120.335857	06-5911929
衛生福利部新營醫院	台南市新營區忠政里信義街７３號	23.3089232	120.3133117	06-6351131
台南科學工業園區聯合診所	台南市新市區南科3路7號1樓	23.096033	120.2850324	06-5050225
洪志旺耳鼻喉科診所	台南市歸仁區中山路二段３０號	22.96692	120.2931255	06-3305903
懷仁內科診所	台南市歸仁區中山路一段530號	22.9666385	120.2957175	06-2303995
啟仁診所	台南市歸仁區中山路１段５３８號	22.9666612	120.2955742	06-2301858
德欣內科診所	台南市歸仁區中山路３段７２號	22.9675834	120.2862289	06-2397699
順安診所	台南市學甲區建國路１２１號	23.230457	120.17863	06-7822389
民生診所	台南市六甲區中正路531號	23.2304107	120.3513946	06-6986015
佳安小兒科	台南市新市區中正路３３１－１號	23.0798267	120.294495	06-5995234
陳育堂診所	台南市北區正覺里公園路599-7號	23.014505	120.2127196	06-2826006
晶品診所	高雄三民區十全一路223號1樓	22.644838	120.307256	07-3222517
尚文診所	高雄大樹區久堂路30號1樓	22.659312	120.420803	07-6527978
宏彰診所	高雄大樹區中正一路423號	22.695077	120.434052	07-6527531
順安內科兒科診所	高雄三民區自強一路229號	22.6355274	120.2912702	07-2815659
鄭榮祥診所	高雄三民區自強一路197號1樓	22.634707	120.291459	07-2511241
傳生診所	高雄三民區建國三路503號1樓	22.6353102	120.2887011	07-2911588
婦全婦產科診所	高雄三民區建國三路517號1樓	22.635163	120.288365	07-2728025
後驛診所	高雄三民區察哈爾二街19號1樓	22.647494	120.302377	07-3134133
進安家庭醫學科診所	高雄三民區建國三路144號1樓	22.637512	120.294285	07-2862494
謝智新骨科診所	高雄三民區九如二路471號1至2樓	22.641381	120.299135	07-3120303
承安耳鼻喉科診所	高雄三民區力行路250號1樓	22.6380074	120.2864438	07-3160789
南山醫院	高雄三民區建國三路151號	22.6377336	120.2985483	07-2882101
上仁診所	高雄三民區中華三路285號1樓	22.63588	120.293083	07-2155510
文雄醫院	高雄三民區察哈爾二街132號B1至5樓	22.6480612	120.2995451	07-3165275
曾繁英診所	高雄三民區自立一路267號	22.64249	120.296143	07-3111048
祐生醫院	高雄三民區建國三路60號	22.6379608	120.2961286	07-2866688
全民醫院	高雄三民區九如二路501號1至4樓	22.6413741	120.2985516	07-3220066
明榮診所	高雄三民區熱河一街370號1至2樓	22.644009	120.305858	07-3222875
樂田耳鼻喉科診所	高雄三民區熱河一街365號1樓	22.643607	120.305885	07-3115999
德謙醫院	高雄三民區九如二路18號	22.64066	120.3131826	07-3210981
愛仁醫療社團法人愛仁醫院	高雄三民區民族一路51號1至4樓	22.6418183	120.3139275	07-3115159
高斌祥外科診所	高雄三民區九如二路202號	22.6411023	120.3070736	07-3119515
怡德耳鼻喉科診所	高雄三民區自立一路99號	22.637307	120.296404	07-2864875
快安診所	高雄三民區立忠路29號1樓	22.6531048	120.325702	07-3895420
安昕診所	高雄三民區大昌一路163號1樓	22.6545419	120.3248841	07-3832564
新高醫院	高雄三民區莊敬路288號1至9樓	22.6498019	120.3182122	07-3828814
灣內診所	高雄三民區鼎山街705號1樓	22.649002	120.315715	07-3866118
高鳳診所	高雄三民區灣中街328號1樓	22.6498482	120.317945	07-3865481
陳豊源耳鼻喉科診所	高雄三民區建工路648號	22.649148	120.321936	07-3870120
賴耳鼻喉科診所	高雄三民區鼎山街581號	22.651048	120.317455	07-3826946
鼎山診所	高雄三民區鼎山街598號1樓	22.650883	120.316967	07-3824296
大慶耳鼻喉科診所	高雄三民區天祥一路146號1樓	22.667862	120.319246	07-3596393
曾柏彰診所	高雄三民區鼎力路339號1樓	22.669339	120.324531	07-3103216
獅湖診所	高雄三民區鼎力路305號1樓	22.6690426	120.3239161	07-3429999
蔡仁正診所	高雄三民區天祥一路200號1樓	22.668012	120.318229	07-3597493
育明診所	高雄三民區民族一路537號1至2樓	22.6660212	120.3163601	07-3478461
亮忠診所	高雄三民區明誠二路28號1樓	22.659911	120.314912	07-3490760
醫鼎診所	高雄三民區裕誠路101號1至2樓	22.6637684	120.3134578	07-3506789
振祐診所	高雄三民區大豐二路154號1樓	22.645451	120.330757	07-3805909
捷祺家庭兒科診所	高雄三民區裕誠路125號1樓	22.6636968	120.3129133	07-3503666
張氏診所	高雄三民區金鼎路368之5號1樓	22.6652067	120.3189247	07-3419182
沐康診所	高雄三民區河堤路318號1至2樓	22.6622255	120.3117024	07-3452197
董金山診所	高雄三民區大昌二路544號	22.651856	120.33021	07-3833405
黃旭瑞耳鼻喉科診所	高雄三民區大昌二路482號	22.650932	120.3311344	07-3802334
長清診所	高雄三民區九如一路135號1至3樓	22.636651	120.340507	07-3851441
謝明容耳鼻喉科診所	高雄三民區大昌二路142號1樓	22.6442154	120.3322203	07-3973999
郭建宏小兒科診所	高雄三民區義華路394號1樓	22.643638	120.3332677	07-3982606
偉倫小兒科診所	高雄三民區鼎山街256號1樓	22.6595982	120.3219502	07-3800333
柳雱邁診所	高雄三民區大順二路96號1樓	22.6420188	120.3272279	07-3895640
羅韻珊小兒科診所	高雄三民區大豐二路110之1號1樓	22.645734	120.32911	07-3870430
林志哲耳鼻喉科診所	高雄三民區大豐二路90號	22.6459949	120.3284063	07-3987593
永馨診所	高雄三民區大昌一路170號1樓	22.6547294	120.3250867	07-3858856
尤啟享診所	高雄三民區澄和路53號	22.644258	120.344908	07-3811515
王俊仁耳鼻喉科診所	高雄三民區陽明路416號1樓	22.6462614	120.3429102	07-3959039
錫謀診所	高雄三民區陽明路398號	22.6459321	120.3428451	07-3835551
耀盛耳鼻喉科診所	高雄三民區澄和路27號	22.6442613	120.3454654	07-3929728
呂佳群耳鼻喉科診所	高雄三民區大昌二路305號1樓	22.6477225	120.3317667	07-3832988
蘇淑玲診所	高雄三民區建工路299號1至2樓	22.653365	120.332092	07-3956416
崇田耳鼻喉科診所	高雄三民區建工路302號1樓	22.653662	120.33163	07-3899900
莊永昌診所	高雄三民區建工路332號	22.653182	120.3307196	07-3922289
范雅修小兒科診所	高雄三民區平等路163號1樓	22.6422104	120.320843	07-3876366
胡榿小兒科診所	高雄三民區九如一路820號1樓	22.6400938	120.3195372	07-3827356
儲昭仁耳鼻喉科診所	高雄三民區九如一路854號1樓	22.6402116	120.3188447	07-3890470
國安診所	高雄三民區建興路193號1至2樓	22.643702	120.325829	07-3865379
天民泌尿科診所	高雄三民區大順二路80號1樓	22.64111	120.327648	07-3927073
余建興耳鼻喉科診所	高雄三民區建興路183號1樓	22.6435676	120.3259986	07-3892437
元成診所	高雄三民區陽明路81號1樓	22.6396562	120.3414357	07-3903808
開元診所	高雄三民區陽明路21號1樓	22.6376331	120.3409292	07-3873595
真善美診所	高雄三民區覺民路69號1至2樓	22.6387647	120.3432801	07-3945929
王漢卿小兒科診所	高雄三民區陽明路132號1樓	22.640601	120.34178	07-3877918
禾泰診所	高雄三民區陽明路68號1樓	22.6395147	120.3415575	07-3903812
和致祥診所	高雄三民區民族巷22之2號1樓	22.6467708	120.3152765	07-3812297
徐樹本小兒科診所	高雄三民區建興路373號	22.6467625	120.3220939	07-3867833
陳津甫耳鼻喉科診所	高雄三民區正興路167號	22.646832	120.319653	07-3805686
張殷彰診所	高雄三民區建工路531號1樓	22.6488379	120.3217638	07-3867121
蕭瑞榮小兒科診所	高雄三民區建工路533號1樓	22.6487342	120.3217691	07-3867121
建功婦產科診所	高雄三民區建工路537號1至4樓	22.6486969	120.3216164	07-3838788
沈中章婦產科診所	高雄三民區大昌二路97號1樓	22.6412048	120.3320295	07-3818993
林正峯小兒科診所	高雄三民區覺民路647號1樓	22.6412366	120.3277672	07-3806183
黃學武家庭醫學科診所	高雄三民區大昌二路23號1樓	22.6392785	120.3321484	07-3815668
邱建皓耳鼻喉科診所	高雄三民區鼎山街365號1樓	22.6578279	120.3219763	07-3909099
黃志維耳鼻喉科診所	高雄三民區建工路608號1樓	22.6494986	120.3232228	07-3947605
鼎真診所	高雄三民區金鼎路325號1樓	22.664925	120.3201395	07-3103130
吉星小兒科診所	高雄三民區天祥一路135之1號	22.6672941	120.3200633	07-3487936
鼎祥診所	高雄三民區天祥一路135之1號1樓	22.6672941	120.3200633	07-3477086
祐笙診所	高雄三民區鼎中路396號1樓	22.6668598	120.3196095	07-3105978
林振東耳鼻喉科診所	高雄三民區陽明路99號1樓	22.6400033	120.3415049	07-3826598
李坤泰診所	高雄三民區覺民路186號	22.639551	120.340241	07-3833282
羅中廷診所	高雄三民區褒揚街218號1樓	22.641589	120.339916	07-3966222
名祥診所	高雄三民區鼎力路116號	22.665257	120.322051	07-3493012
財團法人私立高雄醫學大學	高雄三民區自由一路100號	22.6462853	120.3092701	07-3121101
楊英隆內兒科診所	高雄三民區九如二路419號	22.6411076	120.3008012	07-3116281
謝耳鼻喉科診所	高雄三民區熱河一街333號	22.643552	120.307007	07-3110420
建和耳鼻喉科診所	高雄三民區建國一路413之2號	22.6342537	120.3174289	07-2231828
謝外科醫院	高雄三民區河北一路330號	22.6368065	120.3031838	07-2360121
蔡智禮診所	高雄三民區北平一街132號	22.650157	120.305108	07-3225728
陳國敏婦產科診所	高雄三民區建國三路279號	22.6373789	120.2952265	07-2888115
何思賢家庭醫學科診所	高雄三民區吉林街98號	22.642732	120.306404	07-3119566
生生不息婦產科診所	高雄三民區九如二路162號1至2樓	22.641097	120.308279	07-3113331
朝日診所	高雄三民區嫩江街121號	22.644459	120.298639	07-3112218
民族醫院	高雄三民區民族一路880號	22.6685905	120.3173057	07-3462802
建心診所	高雄三民區裕誠路108號1至2樓	22.6639988	120.3129233	07-3593343
興中聯合診所	高雄三民區九如一路950號	22.640341	120.316749	07-3867535
天祥診所	高雄三民區建工路449號1樓	22.649182	120.3237265	07-3825669
惠民診所	高雄三民區正忠路185號1樓	22.643591	120.330303	07-3852378
安安診所	高雄鳳山區五甲三路111號1樓	22.5915298	120.3259407	07-7689615
李梓堯耳鼻喉科診所	高雄鳳山區三民路192號	22.6238961	120.3598685	07-7101995
建億診所	高雄鳳山區文濱路7號1至2樓	22.6383447	120.3482296	07-7809119
新華田內科診所	高雄鳳山區曹公路16之4號	22.6289029	120.3572832	07-7999128
陳重志聯合診所	高雄鳳山區光復路一段139號	22.6291246	120.3506574	07-7427329
林錦浩耳鼻喉科診所	高雄鳳山區光遠路260號	22.625567	120.362302	07-7419880
藍傳盛診所	高雄鳳山區中正路92號	22.644389	120.366202	07-7475195
吳外科骨科診所	高雄鳳山區中山西路102之9號	22.627056	120.3525433	07-7465265
博新診所	高雄鳳山區博愛路19號1樓	22.6263196	120.3744068	07-7019595
大欣診所	高雄鳳山區文化路25號1樓	22.633303	120.357879	07-7993009
蔡耳鼻喉科診所	高雄鳳山區中山西路277號	22.6279925	120.3475271	07-7196901
德恩診所	高雄鳳山區王生明路133號	22.619898	120.362667	07-7194722
